No. Urut,Ref,Tgl Ref,No. Ref,No. Dok Ref,Kode Cust,Nama Cust,Alamat Cust,Kode Panel,Nama Panel,Kode Sales,Nama Sales,Keterangan,Pajak,Kategori Pjk,Kode Barang,Nama Jns Brg,Ket Ref,Qty,Sat,Qty Std,Sat Std,Harga (+),Harga Sbl (+),Harga Unit(Mu),Total(MU),Disc. 1 (%),Disc. 1 (MU),Disc. 2 (%),Disc. 2 (MU),Disc. 3 (%),Disc. 3 (MU),Disc. 4 (MU),Disc. 5 (%),Disc. 5 (MU),Disc. 6 (MU),Subtot Disc(Mu),Subtot(Mu),Hrg Unit Riil(Mu),Total Riil(Mu),Subtot Disc Riil(Mu),Subtot Riil(Mu),Disc Akh(Mu),Subtot Net(Mu),Pjk(Mu),Subtot Net Pjk(Mu),Kode Kota,Nama Kota
81.,FJ,02/05/2025,2505-MX0005,2505-MX0005,C-CV--003,CV SUPER MART SENTOSA,URIMESING,,,SL12,FENDRY,,PPN,Include,41000001415,,D,8.00,BOX,120.00,PCS,0.00,"30,937.50","30,937.50","247,500.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"247,500.00","27,871.62","222,972.97",0.00,"222,972.97",0.00,"222,972.97","24,527.03","247,500.00",AMBON,AMBON
82.,FJ,02/05/2025,2505-MX0005,2505-MX0005,C-CV--003,CV SUPER MART SENTOSA,URIMESING,,,SL12,FENDRY,,PPN,Include,41000001061,,D,3.00,PCS,3.00,PCS,0.00,"8,547.00","8,547.00","25,641.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"25,641.00","7,700.00","23,100.00",0.00,"23,100.00",0.00,"23,100.00","2,541.00","25,641.00",AMBON,AMBON
83.,FJ,02/05/2025,2505-MX0005,2505-MX0005,C-CV--003,CV SUPER MART SENTOSA,URIMESING,,,SL12,FENDRY,,PPN,Include,4100000002,,D,3.00,PCS,3.00,PCS,0.00,"8,547.00","8,547.00","25,641.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"25,641.00","7,700.00","23,100.00",0.00,"23,100.00",0.00,"23,100.00","2,541.00","25,641.00",AMBON,AMBON
84.,FJ,02/05/2025,2505-MX0005,2505-MX0005,C-CV--003,CV SUPER MART SENTOSA,URIMESING,,,SL12,FENDRY,,PPN,Include,4100000442,,D,1.00,CRT,2.00,BAL,0.00,"138,000.00","138,000.00","138,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"138,000.00","124,324.32","124,324.32",0.00,"124,324.32",0.00,"124,324.32","13,675.68","138,000.00",AMBON,AMBON
94.,FJ,02/05/2025,2505-MX0004,2505-MX0004,CUST0066,SANDY,PASSO,,,SL12,Erwin Taneo,,PPN,Include,4100001212.,,D,1.00,CRT,60.00,PCS,0.00,"102,300.00","102,300.00","102,300.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"102,300.00","92,162.16","92,162.16",0.00,"92,162.16",0.00,"92,162.16","10,137.84","102,300.00",AMBON,AMBON
166.,FJ,02/05/2025,2505-MX0014,2505-MX0014,KV00678,TOKO NANI (KONTAN),PASSO,,,SL12,Erwin Taneo,,PPN,Include,4100000909,,D,2.00,CRT,32.00,PCS,0.00,"132,000.00","132,000.00","264,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"264,000.00","118,918.92","237,837.84",0.00,"237,837.84",0.00,"237,837.84","26,162.16","264,000.00",AMBON,AMBON
167.,FJ,02/05/2025,2505-MX0014,2505-MX0014,KV00678,TOKO NANI (KONTAN),PASSO,,,SL12,Erwin Taneo,,PPN,Include,4100000920,,D,2.00,CRT,32.00,PCS,0.00,"132,000.00","132,000.00","264,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"264,000.00","118,918.92","237,837.84",0.00,"237,837.84",0.00,"237,837.84","26,162.16","264,000.00",AMBON,AMBON
44.,FJ,03/05/2025,2505-MX0039,2505-MX0039,110--KIO0758,KIOS JHON,KY PUTIH,,,SL12,Erwin Taneo,,PPN,Include,4100001212.,,D,1.00,CRT,60.00,PCS,0.00,"102,300.00","102,300.00","102,300.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"102,300.00","92,162.16","92,162.16",0.00,"92,162.16",0.00,"92,162.16","10,137.84","102,300.00",AMBON,AMBON
51.,FJ,03/05/2025,2505-MX0037,2505-MX0037,110--PEN0535,PENGINAPAN TANAH TINGGI,SKIP,,,SL12,Erwin Taneo,,PPN,Include,4100001212.,,D,1.00,CRT,60.00,PCS,0.00,"102,300.00","102,300.00","102,300.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"102,300.00","92,162.16","92,162.16",0.00,"92,162.16",0.00,"92,162.16","10,137.84","102,300.00",AMBON,AMBON
52.,FJ,03/05/2025,2505-MX0037,2505-MX0037,110--PEN0535,PENGINAPAN TANAH TINGGI,SKIP,,,SL12,Erwin Taneo,,PPN,Include,4100001151,,D,1.00,CRT,60.00,PCS,0.00,"102,300.00","102,300.00","102,300.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"102,300.00","92,162.16","92,162.16",0.00,"92,162.16",0.00,"92,162.16","10,137.84","102,300.00",AMBON,AMBON
54.,FJ,03/05/2025,2505-MX0045,2505-MX0045,110--PT.0481,PT. INTI CAKRAWALA CITRA,"JL. ANCOL BARAT I NO. 9-10 ANCOL PADEMANGAN JAKARTA UTARA, DKII JAKARTA-14430",,,SL10,FENDRY,,PPN,Include,4100001374,,D,4.00,CRT,480.00,PCS,0.00,"206,499.60","224,399.90","897,599.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"897,599.60","202,162.07","808,648.29",0.00,"808,648.29",0.00,"808,648.29","88,951.31","897,599.60",JAKARTA,JAKARTA
79.,FJ,03/05/2025,2505-MX0036,2505-MX0036,110-CUS-KHU-CV0001,CV SERBA USAHA,KARPAN,,,SL12,Erwin Taneo,,PPN,Include,4100001079NEW,,D,12.00,PCS,12.00,PCS,0.00,"5,750.00","5,750.00","69,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"69,000.00","5,180.18","62,162.16",0.00,"62,162.16",0.00,"62,162.16","6,837.84","69,000.00",AMBON,AMBON
161.,FJ,03/05/2025,2505-MX0031,2505-MX0031,KV00264,EMPI,KUDAMATI,,,SL12,Erwin Taneo,,PPN,Include,4100001128,,D,3.00,CRT,180.00,PCS,0.00,"102,300.00","102,300.00","306,900.00",42.00,"42,966.00",8.00,"4,746.72",0.00,0.00,0.00,0.00,0.00,0.00,"143,138.16","163,761.84","92,162.16","276,486.49","128,953.30","147,533.19",0.00,"147,533.19","16,228.65","163,761.84",AMBON,AMBON
